Timestamp,ABB00235_Fuel_Rate,ABB00232_Fuel_Rate,Site,ABC00548_Fuel_Rate,ABC00547_Fuel_Rate,ABC00546_Fuel_Rate,ABC00575_Fuel_Rate,ABC00576_Fuel_Rate,ABC00574_Fuel_Rate,ABA00243_Fuel_Rate,ABA00133_Fuel_Rate,ABA00223_Fuel_Rate,ABA00247_Fuel_Rate,ABB00233_Fuel_Rate,ABB00230_Fuel_Rate,ABB00234_Fuel_Rate,ABB00231_Fuel_Rate,ABB00239_Fuel_Rate,ABB00240_Fuel_Rate
2021-08-02,40.0,,Florianopolis,,,,,,,,,,,,,,,,
2021-08-03,57.0,,Florianopolis,,,,,,,,,,,,,,,,
2021-08-04,66.0,172.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-05,92.0,152.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-06,83.0,97.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-07,105.0,76.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-08,117.0,116.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-09,120.0,104.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-10,82.0,72.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-11,42.0,45.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-12,87.0,86.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-13,98.0,74.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-14,58.0,55.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-15,85.0,48.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-16,126.0,102.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-17,41.0,41.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-18,86.0,84.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-19,42.0,44.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-20,45.0,46.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-21,40.0,40.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-22,77.0,73.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-23,54.0,64.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-24,45.0,42.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-25,45.0,46.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-26,58.0,61.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-27,49.0,44.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-28,40.0,40.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-29,134.0,88.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-30,139.0,91.0,Florianopolis,,,,,,,,,,,,,,,,
2021-08-31,74.0,67.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-01,108.0,90.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-02,179.0,117.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-03,112.0,87.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-04,42.0,47.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-05,97.0,61.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-06,95.0,63.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-07,126.0,104.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-08,64.0,61.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-09,50.0,57.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-10,75.0,52.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-11,45.0,40.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-12,44.0,46.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-13,41.0,40.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-14,44.0,46.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-15,43.0,43.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-16,41.0,41.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-17,72.0,53.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-18,146.0,84.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-19,43.0,43.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-20,58.0,48.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-21,89.0,53.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-22,163.0,67.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-23,152.0,63.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-24,161.0,77.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-25,148.0,58.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-26,144.0,61.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-27,169.0,84.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-28,162.0,82.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-29,144.0,74.0,Florianopolis,,,,,,,,,,,,,,,,
2021-09-30,118.0,145.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-01,,43.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-02,57.0,38.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-03,118.0,91.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-04,107.0,75.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-05,114.0,104.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-06,67.0,57.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-07,114.0,107.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-08,,,Florianopolis,,,,,,,,,,,,,,,,
2021-10-09,,,Florianopolis,,,,,,,,,,,,,,,,
2021-10-10,,,Florianopolis,,,,,,,,,,,,,,,,
2021-10-11,,92.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-12,131.0,80.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-13,192.0,239.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-14,61.0,77.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-15,42.0,46.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-16,45.0,47.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-17,47.0,55.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-18,41.0,42.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-19,114.0,121.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-20,44.0,54.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-21,98.0,151.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-22,79.0,89.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-23,70.0,109.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-24,148.0,173.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-25,136.0,186.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-26,110.0,178.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-27,138.0,176.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-28,138.0,179.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-29,203.0,80.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-30,131.0,154.0,Florianopolis,,,,,,,,,,,,,,,,
2021-10-31,104.0,118.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-01,111.0,147.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-02,164.0,127.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-03,137.0,87.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-04,155.0,71.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-05,102.0,117.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-06,89.0,182.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-07,105.0,222.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-08,105.0,198.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-09,135.0,102.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-10,60.0,70.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-11,62.0,70.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-12,107.0,109.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-13,88.0,117.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-14,113.0,220.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-15,101.0,134.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-16,111.0,128.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-17,70.0,81.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-18,116.0,124.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-19,59.0,119.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-20,59.0,111.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-21,107.0,125.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-22,80.0,114.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-23,103.0,108.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-24,132.0,85.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-25,122.0,144.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-26,45.0,57.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-27,58.0,69.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-28,69.0,117.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-29,80.0,101.0,Florianopolis,,,,,,,,,,,,,,,,
2021-11-30,134.0,156.0,Florianopolis,,,,,,,,,,,,,,,,
