Timestamp,TTG00233_Fuel_Rate,TTG00230_Fuel_Rate,Site
2021-12-16,,65.0,Macaé
2021-12-17,,205.0,Macaé
2021-12-18,,,Macaé
2021-12-19,,125.0,Macaé
2021-12-20,,113.0,Macaé
2021-12-21,,,Macaé
2021-12-22,,,Macaé
2021-12-23,,,Macaé
2021-12-24,,86.0,Macaé
2021-12-25,,,Macaé
2021-12-26,,163.0,Macaé
2021-12-27,,181.0,Macaé
2021-12-28,,,Macaé
2021-12-29,,,Macaé
2021-12-30,,102.0,Macaé
2021-12-31,,126.0,Macaé
2022-01-01,,162.0,Macaé
2022-01-02,,146.0,Macaé
2022-01-03,,141.0,Macaé
2022-01-04,,154.0,Macaé
2022-01-05,,162.0,Macaé
2022-01-06,,143.0,Macaé
2022-01-07,,127.0,Macaé
2022-01-08,,140.0,Macaé
2022-01-09,,126.0,Macaé
2022-01-10,,129.0,Macaé
2022-01-11,,127.0,Macaé
2022-01-12,,116.0,Macaé
2022-01-13,,121.0,Macaé
2022-01-14,,163.0,Macaé
2022-01-15,,109.0,Macaé
2022-01-16,,156.0,Macaé
2022-01-17,,191.0,Macaé
2022-01-18,,,Macaé
2022-01-19,,138.0,Macaé
2022-01-20,,,Macaé
2022-01-21,,,Macaé
2022-01-22,,171.0,Macaé
2022-01-23,,159.0,Macaé
2022-01-24,,176.0,Macaé
2022-01-25,,180.0,Macaé
2022-01-26,,192.0,Macaé
2022-01-27,,111.0,Macaé
2022-01-28,,98.0,Macaé
2022-01-29,,168.0,Macaé
2022-01-30,,170.0,Macaé
2022-01-31,,178.0,Macaé
2022-02-01,,156.0,Macaé
2022-02-02,,137.0,Macaé
2022-02-03,,175.0,Macaé
2022-02-04,,166.0,Macaé
2022-02-05,,117.0,Macaé
2022-02-06,,,Macaé
2022-02-07,,116.0,Macaé
2022-02-08,,,Macaé
2022-02-09,,,Macaé
2022-02-10,108.0,240.0,Macaé
2022-02-11,103.0,,Macaé
2022-02-12,105.0,,Macaé
2022-02-13,112.0,,Macaé
2022-02-14,122.0,,Macaé
2022-02-15,123.0,167.0,Macaé
2022-02-16,184.0,157.0,Macaé
2022-02-17,84.0,124.0,Macaé
2022-02-18,,,Macaé
2022-02-19,,,Macaé
2022-02-20,,,Macaé
2022-02-21,,68.0,Macaé
2022-02-22,,,Macaé
2022-02-23,,,Macaé
2022-02-24,31.0,54.0,Macaé
2022-02-25,140.0,161.0,Macaé
2022-02-26,147.0,182.0,Macaé
2022-02-27,106.0,132.0,Macaé
2022-02-28,110.0,,Macaé
2022-03-01,120.0,122.0,Macaé
2022-03-02,113.0,116.0,Macaé
2022-03-03,116.0,113.0,Macaé
2022-03-04,113.0,129.0,Macaé
2022-03-05,,131.0,Macaé
2022-03-06,,134.0,Macaé
2022-03-07,118.0,133.0,Macaé
2022-03-08,128.0,128.0,Macaé
2022-03-09,,137.0,Macaé
2022-03-10,119.0,154.0,Macaé
2022-03-11,87.0,143.0,Macaé
2022-03-12,100.0,134.0,Macaé
2022-03-13,112.0,104.0,Macaé
2022-03-14,141.0,161.0,Macaé
2022-03-15,31.0,41.0,Macaé
2022-03-16,122.0,138.0,Macaé
2022-03-17,150.0,212.0,Macaé
2022-03-18,116.0,,Macaé
2022-03-19,112.0,,Macaé
2022-03-20,109.0,,Macaé
2022-03-21,107.0,164.0,Macaé
2022-03-22,91.0,151.0,Macaé
2022-03-23,90.0,148.0,Macaé
2022-03-24,102.0,137.0,Macaé
2022-03-25,,136.0,Macaé
2022-03-26,,154.0,Macaé
2022-03-27,111.0,134.0,Macaé
2022-03-28,107.0,42.0,Macaé
2022-03-29,132.0,174.0,Macaé
2022-03-30,124.0,139.0,Macaé
2022-03-31,120.0,154.0,Macaé
2022-04-01,121.0,135.0,Macaé
2022-04-02,120.0,130.0,Macaé
2022-04-03,125.0,147.0,Macaé
2022-04-04,123.0,140.0,Macaé
2022-04-05,111.0,157.0,Macaé
2022-04-06,,139.0,Macaé
2022-04-07,126.0,142.0,Macaé
2022-04-08,105.0,153.0,Macaé
2022-04-09,122.0,159.0,Macaé
2022-04-10,110.0,143.0,Macaé
2022-04-11,121.0,142.0,Macaé
2022-04-12,144.0,172.0,Macaé
2022-04-13,131.0,210.0,Macaé
2022-04-14,152.0,156.0,Macaé
2022-04-15,150.0,189.0,Macaé
2022-04-16,123.0,129.0,Macaé
2022-04-17,114.0,122.0,Macaé
2022-04-18,112.0,116.0,Macaé
2022-04-19,114.0,140.0,Macaé
2022-04-20,115.0,154.0,Macaé
2022-04-21,113.0,151.0,Macaé
2022-04-22,114.0,225.0,Macaé
2022-04-23,130.0,185.0,Macaé
2022-04-24,116.0,,Macaé
2022-04-25,116.0,,Macaé
2022-04-26,112.0,150.0,Macaé
2022-04-27,148.0,146.0,Macaé
2022-04-28,135.0,113.0,Macaé
2022-04-29,130.0,,Macaé
2022-04-30,,,Macaé
2022-05-01,111.0,,Macaé
2022-05-02,114.0,,Macaé
2022-05-03,144.0,37.0,Macaé
2022-05-04,124.0,,Macaé
2022-05-05,136.0,150.0,Macaé
2022-05-06,136.0,147.0,Macaé
2022-05-07,173.0,147.0,Macaé
2022-05-08,215.0,144.0,Macaé
2022-05-09,,32.0,Macaé
2022-05-10,159.0,94.0,Macaé
2022-05-11,,56.0,Macaé
2022-05-12,143.0,183.0,Macaé
2022-05-13,162.0,212.0,Macaé
2022-05-14,156.0,199.0,Macaé
2022-05-15,107.0,155.0,Macaé
2022-05-16,122.0,175.0,Macaé
2022-05-17,139.0,160.0,Macaé
2022-05-18,106.0,106.0,Macaé
2022-05-19,114.0,134.0,Macaé
2022-05-20,111.0,105.0,Macaé
2022-05-21,108.0,106.0,Macaé
2022-05-22,130.0,143.0,Macaé
2022-05-23,131.0,131.0,Macaé
2022-05-24,114.0,115.0,Macaé
2022-05-25,109.0,126.0,Macaé
2022-05-26,115.0,131.0,Macaé
2022-05-27,,117.0,Macaé
2022-05-28,,112.0,Macaé
2022-05-29,117.0,110.0,Macaé
2022-05-30,111.0,108.0,Macaé
2022-05-31,100.0,109.0,Macaé
2022-06-01,,115.0,Macaé
2022-06-02,,112.0,Macaé
2022-06-03,109.0,119.0,Macaé
2022-06-04,157.0,169.0,Macaé
2022-06-05,,,Macaé
2022-06-06,,57.0,Macaé
2022-06-07,122.0,138.0,Macaé
2022-06-08,139.0,135.0,Macaé
2022-06-09,157.0,100.0,Macaé
2022-06-10,,,Macaé
2022-06-11,179.0,186.0,Macaé
2022-06-12,,124.0,Macaé
2022-06-13,92.0,141.0,Macaé
2022-06-14,90.0,131.0,Macaé
2022-06-15,86.0,122.0,Macaé
2022-06-16,117.0,124.0,Macaé
2022-06-17,135.0,143.0,Macaé
2022-06-18,107.0,107.0,Macaé
2022-06-19,118.0,,Macaé
2022-06-20,106.0,,Macaé
2022-06-21,104.0,,Macaé
2022-06-22,111.0,,Macaé
2022-06-23,126.0,136.0,Macaé
2022-06-24,110.0,135.0,Macaé
2022-06-25,120.0,124.0,Macaé
2022-06-26,113.0,120.0,Macaé
2022-06-27,118.0,106.0,Macaé
2022-06-28,105.0,142.0,Macaé
2022-06-29,89.0,139.0,Macaé
2022-06-30,88.0,136.0,Macaé
2022-07-01,93.0,132.0,Macaé
2022-07-02,,128.0,Macaé
2022-07-03,145.0,184.0,Macaé
2022-07-04,,,Macaé
2022-07-05,30.0,55.0,Macaé
2022-07-06,117.0,148.0,Macaé
2022-07-07,175.0,172.0,Macaé
2022-07-08,,125.0,Macaé
2022-07-09,94.0,122.0,Macaé
2022-07-10,,115.0,Macaé
2022-07-11,65.0,122.0,Macaé
2022-07-12,,128.0,Macaé
2022-07-13,,129.0,Macaé
2022-07-14,,114.0,Macaé
2022-07-15,117.0,121.0,Macaé
2022-07-16,118.0,107.0,Macaé
2022-07-17,105.0,137.0,Macaé
2022-07-18,91.0,134.0,Macaé
2022-07-19,,129.0,Macaé
2022-07-20,122.0,131.0,Macaé
2022-07-21,109.0,134.0,Macaé
2022-07-22,120.0,145.0,Macaé
2022-07-23,,113.0,Macaé
2022-07-24,,112.0,Macaé
2022-07-25,,114.0,Macaé
2022-07-26,103.0,111.0,Macaé
2022-07-27,98.0,108.0,Macaé
2022-07-28,87.0,126.0,Macaé
2022-07-29,101.0,159.0,Macaé
2022-07-30,101.0,145.0,Macaé
2022-07-31,159.0,211.0,Macaé
